2018/01/26 16:01:09 version: 20171201
2018/01/26 16:01:09 listening on: [::]:12948
2018/01/26 16:01:09 encryption: aes
2018/01/26 16:01:09 nodelay parameters: 1 20 2 1
2018/01/26 16:01:09 remote address: 176.122.162.98:29900
2018/01/26 16:01:09 sndwnd: 256 rcvwnd: 2048
2018/01/26 16:01:09 compression: true
2018/01/26 16:01:09 mtu: 1400
2018/01/26 16:01:09 datashard: 10 parityshard: 3
2018/01/26 16:01:09 acknodelay: false
2018/01/26 16:01:09 dscp: 0
2018/01/26 16:01:09 sockbuf: 4194304
2018/01/26 16:01:09 keepalive: 10
2018/01/26 16:01:09 conn: 4
2018/01/26 16:01:09 autoexpire: 0
2018/01/26 16:01:09 scavengettl: 600
2018/01/26 16:01:09 snmplog: 
2018/01/26 16:01:09 snmpperiod: 60
2018/01/26 16:01:09 quiet: false
2018/01/26 16:01:09 connection: 172.18.84.71:53818 -> 176.122.162.98:29900
2018/01/26 16:01:09 connection: 172.18.84.71:53819 -> 176.122.162.98:29900
2018/01/26 16:01:09 connection: 172.18.84.71:53820 -> 176.122.162.98:29900
2018/01/26 16:01:09 connection: 172.18.84.71:53821 -> 176.122.162.98:29900
2018/01/26 16:07:27 stream opened
2018/01/26 16:07:27 stream opened
2018/01/26 16:07:30 stream opened
2018/01/26 16:07:32 stream opened
2018/01/26 16:07:36 stream opened
2018/01/26 16:07:36 stream closed
2018/01/26 16:07:36 stream closed
2018/01/26 16:07:36 stream closed
2018/01/26 16:07:38 stream opened
2018/01/26 16:07:38 stream opened
2018/01/26 16:07:38 stream opened
2018/01/26 16:07:38 stream opened
2018/01/26 16:07:38 stream opened
2018/01/26 16:07:38 stream opened
2018/01/26 16:07:38 stream opened
2018/01/26 16:07:38 stream opened
2018/01/26 16:07:39 stream opened
2018/01/26 16:07:39 stream opened
2018/01/26 16:07:39 stream opened
2018/01/26 16:07:39 stream opened
2018/01/26 16:07:39 stream opened
2018/01/26 16:07:39 stream opened
2018/01/26 16:07:40 stream opened
2018/01/26 16:07:40 stream opened
2018/01/26 16:07:42 stream opened
2018/01/26 16:07:42 stream opened
2018/01/26 16:07:45 stream opened
2018/01/26 16:07:45 stream opened
2018/01/26 16:07:46 stream closed
2018/01/26 16:07:46 stream closed
2018/01/26 16:07:46 stream closed
2018/01/26 16:07:46 stream closed
2018/01/26 16:07:46 stream closed
2018/01/26 16:07:46 stream closed
2018/01/26 16:07:46 stream closed
2018/01/26 16:07:46 stream closed
2018/01/26 16:07:46 stream closed
2018/01/26 16:07:46 stream closed
